Country name,Dystopia + residual,Explained by: Perceptions of corruption,Explained by: Generosity,Explained by: Freedom to make life choices,Explained by: Healthy life expectancy,Explained by: Social support,Explained by: Log GDP per capita,Regional indicator,Score,Rank,xText
France,0.376831091,0.035127055,0.013751868,0.080119581,0.120179372,0.161584454,0.212406577,Western Europe,6.69,21,"France ( #21, 6.69)"
Bahrain,0.395817662,0.020911689,0.037009177,0.099443358,0.099593802,0.135248985,0.211975327,Middle East and North Africa,6.647,22,"Bahrain ( #22, 6.647)"
Malta,0.343480236,0.027714675,0.041647736,0.100560351,0.113130395,0.159775859,0.213690747,Western Europe,6.602,23,"Malta ( #23, 6.602)"
Taiwan Province of China,0.408048595,0.02110858,0.021564161,0.074411541,0.100987092,0.149126803,0.224753227,East Asia,6.584,24,"Taiwan Province of China ( #24, 6.584)"
United Arab Emirates,0.369207317,0.033993902,0.03597561,0.102134146,0.09054878,0.131097561,0.237042683,Middle East and North Africa,6.561,25,"United Arab Emirates ( #25, 6.561)"
Saudi Arabia,0.410840776,0.025100092,0.013858947,0.092854943,0.087927318,0.148444718,0.220973206,Middle East and North Africa,6.494,26,"Saudi Arabia ( #26, 6.494)"
Spain,0.387091805,0.019100431,0.020794824,0.07116451,0.127233518,0.162815773,0.211799137,Western Europe,6.491,27,"Spain ( #27, 6.491)"
Italy,0.430906848,0.007248612,0.02051203,0.058451573,0.123072178,0.144972239,0.214836521,Western Europe,6.483,28,"Italy ( #28, 6.483)"
Slovenia,0.369659443,0.013157895,0.018885449,0.106811146,0.111764706,0.169195046,0.210526316,Central and Eastern Europe,6.461,29,"Slovenia ( #29, 6.461)"
Guatemala,0.524475524,0.016317016,0.025330225,0.099145299,0.080652681,0.122766123,0.131313131,Latin America and Caribbean,6.435,30,"Guatemala ( #30, 6.435)"
Uruguay,0.404291712,0.034675789,0.019903592,0.097185508,0.100917431,0.162027678,0.18099829,Latin America and Caribbean,6.431,31,"Uruguay ( #31, 6.431)"
Singapore,0.216245884,0.085777011,0.027599185,0.104124196,0.140661753,0.159793006,0.265798965,Southeast Asia,6.377,32,"Singapore ( #32, 6.377)"
Kosovo,0.499372254,0.002197112,0.055869429,0.093063402,0.075800377,0.126647834,0.147049592,Central and Eastern Europe,6.372,33,"Kosovo ( #33, 6.372)"
Slovakia,0.428751975,0.002843602,0.016903633,0.073933649,0.103159558,0.168404423,0.20600316,Central and Eastern Europe,6.331,34,"Slovakia ( #34, 6.331)"
Brazil,0.476228084,0.018480493,0.022429316,0.081187806,0.090191123,0.149107566,0.162375612,Latin America and Caribbean,6.33,35,"Brazil ( #35, 6.33)"
Mexico,0.468735159,0.014088966,0.014563875,0.09260725,0.100364097,0.131391483,0.178249169,Latin America and Caribbean,6.317,36,"Mexico ( #36, 6.317)"
Jamaica,0.496909177,0.00554763,0.015691869,0.097955302,0.094943731,0.147725472,0.141226819,Latin America and Caribbean,6.309,37,"Jamaica ( #37, 6.309)"
Lithuania,0.41943734,0.011668798,0.008951407,0.076086957,0.097826087,0.170236573,0.215792839,Central and Eastern Europe,6.255,38,"Lithuania ( #38, 6.255)"
Cyprus,0.414203085,0.009800771,0.028598972,0.074550129,0.128695373,0.122911311,0.22124036,Western Europe,6.223,39,"Cyprus ( #39, 6.223)"
Estonia,0.339796413,0.042494749,0.019227662,0.103570852,0.103409275,0.174341574,0.217159476,Central and Eastern Europe,6.189,40,"Estonia ( #40, 6.189)"
Panama,0.406118485,0.008578828,0.01278731,0.09647135,0.107963742,0.157979929,0.210100356,Latin America and Caribbean,6.18,41,"Panama ( #41, 6.18)"
Uzbekistan,0.400873928,0.043858229,0.063278848,0.115876355,0.08545072,0.166208124,0.124453795,Commonwealth of Independent States,6.179,42,"Uzbekistan ( #42, 6.179)"
Chile,0.434472704,0.011339705,0.02575733,0.070954155,0.109833144,0.153248016,0.194394946,Latin America and Caribbean,6.172,43,"Chile ( #43, 6.172)"
Poland,0.395458232,0.02108678,0.01297648,0.090510949,0.108353609,0.159286294,0.212327656,Central and Eastern Europe,6.166,44,"Poland ( #44, 6.166)"
